player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
1,MF,Australia,32-094,1990,4,9,6,4,4,1,6,8,75,2,6,4,2,3,12,9,0
2,MF,Wales,31-357,1990,3,2,0,0,2,0,0,2,0,2,4,1,3,0,2,2,1
3,MF,Morocco,26-020,1996,2,3,1,1,2,0,2,6,33.3,4,3,1,2,5,8,3,0
4,DF,Qatar,29-112,1993,3,7,3,5,2,0,3,4,75,1,3,1,2,1,8,5,0
5,FW,Morocco,32-001,1990,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
6,FW,Morocco,21-001,2001,1,3,2,2,1,0,1,1,100,0,4,1,3,0,3,3,0
7,DF,Senegal,26-228,1996,3.7,2,2,2,0,0,2,2,100,0,1,1,0,1,3,10,0
8,FW,Ghana,18-285,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,MF,Qatar,32-051,1990,2.2,1,1,0,0,1,1,2,50,1,0,0,0,1,2,0,0
10,DF,Saudi Arabia,25-337,1997,2,1,0,1,0,0,0,1,0,1,2,1,1,4,5,10,0
11,MF,Saudi Arabia,28-068,1994,1.9,3,1,3,0,0,1,3,33.3,2,3,0,3,2,5,4,1
12,DF,Saudi Arabia,29-156,1993,0.5,1,0,1,0,0,0,0,,0,3,2,1,0,1,2,0
13,MF,Saudi Arabia,27-200,1995,0.4,3,3,2,1,0,1,5,20,4,0,0,0,0,3,0,0
14,DF,IR Iran,24-175,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
15,DF,Morocco,23-226,1999,2.1,1,0,1,0,0,1,3,33.3,2,7,4,3,5,6,9,0
16,DF,Morocco,24-044,1998,7,26,17,15,10,1,17,28,60.7,11,7,1,6,9,35,12,0
17,MF,France,27-259,1995,5.4,12,9,4,6,2,4,7,57.1,3,11,2,9,10,22,6,0
18,MF,Uruguay,24-078,1998,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
19,MF,IR Iran,29-319,1993,2.5,4,3,1,1,2,1,2,50,1,3,0,3,6,10,8,0
20,FW,Qatar,29-321,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
21,GK,Tunisia,25-324,1997,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
22,MF,Australia,26-166,1996,0.7,2,0,1,1,0,1,1,100,0,0,0,0,1,3,1,0
23,FW,Qatar,26-030,1996,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,MF,Ecuador,24-119,1998,0.5,1,0,0,1,0,0,1,0,1,0,0,0,2,3,1,0
25,DF,Spain,19-061,2003,1.4,6,6,2,2,2,2,2,100,0,2,0,2,0,6,2,0
26,FW,Serbia,28-093,1994,2.9,1,0,0,0,1,1,1,100,0,1,0,1,0,1,1,0
27,DF,Brazil,31-326,1991,2.1,8,3,6,2,0,2,2,100,0,1,0,1,3,11,9,0
