player ID,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
1,MF,Australia,32-094,1990,4,0,1,0,0,0.25,0,0,,29.1,0,0,0,0,0,0.05,0,0
2,MF,Wales,31-357,1990,3,0,1,0,0,0.34,0,0,,18,0,0,0,0,0,0.04,0,0
3,MF,Morocco,26-020,1996,2,0,3,0,0,1.49,0,0,,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1
4,DF,Qatar,29-112,1993,3,0,6,0,0,2,0,0,,23.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
5,FW,Morocco,32-001,1990,0.8,0,2,1,50,2.65,1.32,0,0,7.8,0,0,0,0.4,0.4,0.2,-0.4,-0.4
6,FW,Morocco,21-001,2001,1,0,1,0,0,0.97,0,0,,13.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
7,DF,Senegal,26-228,1996,3.7,0,1,0,0,0.27,0,0,,15.4,0,0,0,0,0,0.03,0,0
8,FW,Ghana,18-285,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
9,MF,Qatar,32-051,1990,2.2,0,1,1,100,0.46,0.46,0,0,27.4,0,0,0,0,0,0.02,0,0
10,DF,Saudi Arabia,25-337,1997,2,0,1,0,0,0.49,0,0,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
11,MF,Saudi Arabia,28-068,1994,1.9,0,2,0,0,1.03,0,0,,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
12,DF,Saudi Arabia,29-156,1993,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,MF,Saudi Arabia,27-200,1995,0.4,0,1,0,0,2.57,0,0,,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
14,DF,IR Iran,24-175,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,DF,Morocco,23-226,1999,2.1,1,1,1,100,0.48,0.48,1,1,4.1,0,0,0,0.6,0.6,0.63,0.4,0.4
16,DF,Morocco,24-044,1998,7,0,4,1,25,0.57,0.14,0,0,26.5,1,0,0,0.1,0.1,0.03,-0.1,-0.1
17,MF,France,27-259,1995,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.3,0,0,0,1.1,1.1,0.12,-0.1,-0.1
18,MF,Uruguay,24-078,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
19,MF,IR Iran,29-319,1993,2.5,0,5,1,20,2.02,0.4,0,0,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
20,FW,Qatar,29-321,1993,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
21,GK,Tunisia,25-324,1997,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
22,MF,Australia,26-166,1996,0.7,0,1,0,0,1.45,0,0,,22.4,0,0,0,0,0,0.03,0,0
23,FW,Qatar,26-030,1996,3,0,2,0,0,0.67,0,0,,29.8,0,0,0,0,0,0.02,0,0
24,MF,Ecuador,24-119,1998,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
25,DF,Spain,19-061,2003,1.4,0,1,0,0,0.71,0,0,,11.3,0,0,0,0,0,0.05,0,0
26,FW,Serbia,28-093,1994,2.9,2,10,3,30,3.44,1.03,0.2,0.67,14.1,0,0,0,1.6,1.6,0.16,0.4,0.4
27,DF,Brazil,31-326,1991,2.1,0,1,0,0,0.47,0,0,,33.5,0,0,0,0,0,0.03,0,0
28,DF,Brazil,30-003,1992,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
29,DF,Denmark,25-009,1997,0.5,0,2,0,0,3.91,0,0,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
30,DF,Ghana,28-131,1994,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
31,MF,Argentina,23-359,1998,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,19.3,0,0,0,0.7,0.7,0.1,0.3,0.3
32,FW,Mexico,25-023,1997,2.1,0,9,2,22.2,4.2,0.93,0,0,21,1,0,0,0.8,0.8,0.09,-0.8,-0.8
33,DF,Tunisia,28-363,1993,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
34,MF,Saudi Arabia,25-289,1997,0.5,0,1,0,0,2,0,0,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
35,DF,Saudi Arabia,33-027,1989,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
36,MF,Qatar,29-333,1993,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
37,MF,IR Iran,26-283,1996,2.2,0,1,0,0,0.45,0,0,,26.2,0,0,0,0,0,0.03,0,0
38,MF,IR Iran,28-310,1994,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
39,DF,Tunisia,32-351,1990,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
40,DF,Ghana,22-197,2000,1.7,0,1,0,0,0.58,0,0,,31.9,0,0,0,0,0,0.01,0,0
41,GK,IR Iran,30-088,1992,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
42,MF,IR Iran,29-129,1993,0.7,0,3,0,0,4.58,0,0,,22.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
43,GK,Brazil,30-077,1992,4.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
44,DF,Canada,24-071,1998,3,0,2,1,50,0.67,0.33,0,0,8.5,0,0,0,0.8,0.8,0.4,-0.8,-0.8
45,FW,Qatar,26-121,1996,2.5,0,3,1,33.3,1.21,0.4,0,0,16.4,0,0,0,0.4,0.4,0.12,-0.4,-0.4
46,MF,Canada,22-046,2000,3,1,3,1,33.3,1,0.33,0.33,1,21,1,0,1,1.1,0.3,0.09,-0.1,0.7
47,MF,Belgium,21-124,2001,1.2,0,2,0,0,1.73,0,0,,8.3,0,0,0,0.5,0.5,0.23,-0.5,-0.5
48,FW,Morocco,22-041,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
49,MF,Cameroon,27-032,1995,2.9,0,1,1,100,0.35,0.35,0,0,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
50,DF,Denmark,26-252,1996,3,1,2,1,50,0.67,0.33,0.5,1,5.9,0,0,0,0.4,0.4,0.18,0.6,0.6
51,FW,Denmark,29-277,1993,1,0,5,2,40,4.89,1.96,0,0,10.2,0,0,0,1,1,0.2,-1,-1
52,FW,Denmark,22-354,1999,1.5,0,4,1,25,2.73,0.68,0,0,14.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
53,FW,Croatia,31-182,1991,5.3,2,10,4,40,1.9,0.76,0.2,0.5,15.1,0,0,0,1.6,1.6,0.16,0.4,0.4
54,GK,Netherlands,28-255,1994,5.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
55,DF,Serbia,26-160,1996,2.3,0,1,0,0,0.43,0,0,,24.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
56,MF,Ghana,33-001,1989,2.2,1,1,1,100,0.45,0.45,1,1,17.3,0,0,1,1.1,0.4,0.36,-0.1,0.6
57,GK,Cameroon,26-260,1996,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
58,FW,Portugal,27-042,1995,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
59,MF,Mexico,36-081,1986,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
60,MF,Tunisia,21-277,2001,1.6,0,1,1,100,0.61,0.61,0,0,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
61,FW,Spain,20-048,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
62,FW,Croatia,31-149,1991,0.6,0,1,0,0,1.64,0,0,,10.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2
63,FW,Costa Rica,22-323,2000,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
64,MF,France,31-272,1991,6,0,6,2,33.3,1.01,0.34,0,0,17.6,1,0,0,0.7,0.7,0.11,-0.7,-0.7
65,FW,Ghana,22-345,2000,0.2,0,1,0,0,4.5,0,0,,13.5,0,0,0,0,0,0.05,0,0
66,DF,United States,25-132,1997,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
67,DF,Germany,29-290,1993,3,0,6,1,16.7,2,0.33,0,0,17.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8
68,FW,Brazil,22-297,2000,1.9,0,6,2,33.3,3.14,1.05,0,0,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
69,DF,Portugal,19-049,2003,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
70,MF,Japan,24-099,1998,1.9,1,1,1,100,0.53,0.53,1,1,1.5,0,0,0,1,1,0.96,0,0
71,FW,Switzerland,20-141,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
72,FW,Poland,28-293,1994,1.1,0,1,0,0,0.89,0,0,,9,0,0,0,0.2,0.2,0.25,-0.2,-0.2
73,DF,Poland,35-044,1987,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
74,FW,Saudi Arabia,21-268,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
75,MF,Qatar,26-057,1996,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
76,MF,Canada,39-313,1983,1.8,0,2,0,0,1.13,0,0,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
77,MF,France,22-325,2000,6.9,1,6,2,33.3,0.87,0.29,0.17,0.5,23.7,0,0,0,0.3,0.3,0.06,0.7,0.7
