player,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Aaron Mooy,MF,Australia,32-094,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Aaron Ramsey,MF,Wales,31-357,1990,3,3,266,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Abdelhamid Sabiri,MF,Morocco,26-020,1996,5,2,181,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,0.1,0.1,0.9,1,0.08,0.53,0.6,0.08,0.6
Abdelkarim Hassan,DF,Qatar,29-112,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0.01,0.11,0.1,0.11
Abderrazak Hamdallah,FW,Morocco,32-001,1990,4,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.52,0,0.52,0.52,0.52
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,3,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.09,0.39,0.49,0.09,0.49
Abdou Diallo,DF,Senegal,26-228,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,3,2,182,2,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,2,2,174,1.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Abdullah Madu,DF,Saudi Arabia,29-156,1993,1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0.06,0.24,0.18,0.24
Abolfazl Jalali,DF,IR Iran,24-175,1998,1,0,19,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
